poi_start,poi_dest,time_travel
42,49,7.77
42,52,3.07
42,54,2.84
42,58,3.75
42,59,3.84
42,61,4.44
42,62,4.55
42,63,11.46
42,71,7.8
42,75,4.33
42,76,7.09
42,201,5.98
42,202,8.41
42,300,2.96
42,301,3.54
42,302,2.23
42,303,16.94
49,42,7.66
49,52,6.13
49,54,5.86
49,58,4.6
49,59,4.51
49,61,3.81
49,62,4.18
49,63,8.43
49,71,4.59
49,75,7.35
49,76,2.11
49,201,5.81
49,202,5.68
49,300,5.38
49,301,4.43
49,302,5.22
49,303,12.24
52,42,4.66
52,49,6.4
52,54,1.47
52,58,2.38
52,59,2.47
52,61,3.07
52,62,4.59
52,63,10.57
52,71,6.41
52,75,5.59
52,76,5.7
52,201,6.94
52,202,8.53
52,300,1.48
52,301,2.17
52,302,3.46
52,303,16.32
54,42,4.89
54,49,5.98
54,52,2.86
54,58,1.78
54,59,1.81
54,61,2.1
54,62,3.57
54,63,11.17
54,71,6.97
54,75,4.58
54,76,5.34
54,201,5.93
54,202,7.52
54,300,2.71
54,301,2.41
54,302,2.45
54,303,15.95
58,42,4.4
58,49,4.24
58,52,2.39
58,54,1.55
58,59,0.09
58,61,0.79
58,62,2.99
58,63,9.8
58,71,5.6
58,75,4.1
58,76,3.6
58,201,5.35
58,202,6.93
58,300,1.61
58,301,0.67
58,302,1.96
58,303,14.22
59,42,4.43
59,49,4.33
59,52,2.48
59,54,1.64
59,58,0.09
59,61,0.7
59,62,2.91
59,63,9.89
59,71,5.69
59,75,4.12
59,76,3.69
59,201,5.26
59,202,6.85
59,300,1.7
59,301,0.76
59,302,1.99
59,303,14.3
61,42,4.16
61,49,4.07
61,52,3.02
61,54,2.31
61,58,0.79
61,59,0.7
61,62,2.2
61,63,10.03
61,71,5.83
61,75,3.85
61,76,3.83
61,201,4.56
61,202,6.15
61,300,2.25
61,301,0.9
61,302,1.72
61,303,14.36
62,42,7.03
62,49,4.52
62,52,6.59
62,54,5.3
62,58,4.35
62,59,4.27
62,61,3.57
62,63,11.26
62,71,7.42
62,75,6.15
62,76,4.94
62,201,4.52
62,202,4.42
62,300,5.81
62,301,4.47
62,302,4.67
62,303,12.88
63,42,12.1
63,49,6.51
63,52,8.38
63,54,9.15
63,58,7.74
63,59,7.83
63,61,7.97
63,62,8.8
63,71,3.87
63,75,11.79
63,76,4.97
63,201,10.14
63,202,10.01
63,300,7.81
63,301,7.07
63,302,9.66
63,303,14.42
71,42,8.23
71,49,2.64
71,52,4.89
71,54,5.28
71,58,3.87
71,59,3.96
71,61,4.1
71,62,4.94
71,63,5.36
71,75,7.92
71,76,1.1
71,201,6.27
71,202,6.14
71,300,4.14
71,301,3.2
71,302,5.79
71,303,11.95
75,42,2.78
75,49,7.42
75,52,5.86
75,54,5.62
75,58,6.53
75,59,6.62
75,61,6.28
75,62,4.11
75,63,14.16
75,71,10.32
75,76,7.84
75,201,5.37
75,202,7.97
75,300,5.74
75,301,6.32
75,302,3.36
75,303,16.51
76,42,7.83
76,49,2.11
76,52,5.36
76,54,5.74
76,58,4.33
76,59,4.42
76,61,3.98
76,62,4.41
76,63,6.89
76,71,3.05
76,75,7.52
76,201,5.74
76,202,5.61
76,300,4.61
76,301,3.66
76,302,5.39
76,303,11.42
201,42,4.37
201,49,4.39
201,52,5.12
201,54,3.54
201,58,3.6
201,59,3.63
201,61,3.25
201,62,1.08
201,63,11.13
201,71,7.28
201,75,3.47
201,76,4.8
201,202,4.84
201,300,4.98
201,301,4.15
201,302,2.8
201,303,13.43
202,42,7.97
202,49,4.25
202,52,8.17
202,54,6.89
202,58,5.94
202,59,5.85
202,61,5.15
202,62,4.42
202,63,10.33
202,71,6.49
202,75,7.07
202,76,4.35
202,201,3.61
202,300,7.4
202,301,6.05
202,302,6.26
202,303,10.74
300,42,5.86
300,49,4.93
300,52,1.77
300,54,2.91
300,58,1.5
300,59,1.59
300,61,1.73
300,62,3.94
300,63,9.14
300,71,4.94
300,75,5.55
300,76,4.22
300,201,6.29
300,202,7.88
300,301,0.83
300,302,3.42
300,303,14.84
301,42,5.03
301,49,4.24
301,52,2.12
301,54,2.08
301,58,0.67
301,59,0.76
301,61,0.9
301,62,3.11
301,63,9.76
301,71,5.55
301,75,4.72
301,76,3.6
301,201,5.46
301,202,7.05
301,300,1.34
301,302,2.59
301,303,14.21
302,42,2.71
302,49,5.63
302,52,5.53
302,54,4.79
302,58,4.85
302,59,4.87
302,61,4.49
302,62,2.32
302,63,12.37
302,71,8.53
302,75,2.4
302,76,6.05
302,201,3.78
302,202,6.18
302,300,5.42
302,301,5.39
302,303,14.72
303,42,17.82
303,49,12.1
303,52,15.86
303,54,16.01
303,58,14.75
303,59,14.67
303,61,13.97
303,62,13.68
303,63,14.23
303,71,12.41
303,75,17.0
303,76,11.28
303,201,13.63
303,202,12.35
303,300,15.11
303,301,14.17
303,302,15.38
