,id_veronacard,profilo,data_visita,ora_visita,sito_nome,poi
401887,04BBB8523F3880,24 Ore,1/2/2015,15:15:00,Anfiteatro Arena,49
401888,047BD3523F3880,24 Ore,2/3/2015,11:51:00,Anfiteatro Arena,49
401889,04C688523F3880,72 Ore,1/1/2015,14:50:00,Anfiteatro Arena,49
401890,04650D523F3884,24 Ore,1/1/2015,15:47:00,Anfiteatro Arena,49
401891,04F661523F3880,72 Ore,1/1/2015,15:47:00,Anfiteatro Arena,49
401892,04FAAC523F3880,72 Ore,1/1/2015,15:47:00,Anfiteatro Arena,49
401893,048A66523F3880,24 Ore,1/17/2015,10:52:00,Anfiteatro Arena,49
407697,04789BBA7B3F80,vrcard2-24,12/8/2015,10:47:00,Anfiteatro Arena,49
407698,04772EBA7B3F80,vrcard2-24,12/8/2015,10:47:00,Anfiteatro Arena,49
407699,04C62DC27B3F80,vrcard2-24,10/9/2015,15:18:00,Anfiteatro Arena,49
407700,04A8E2C27B3F80,vrcard2-48,12/30/2015,10:47:00,Anfiteatro Arena,49
407701,04D400C27B3F84,vrcard2-24,12/26/2015,12:22:00,Anfiteatro Arena,49
407702,047CBDBA7B3F80,vrcard2-24,12/26/2015,12:21:00,Anfiteatro Arena,49
407703,04C4CAC27B3F80,vrcard2-24,12/8/2015,10:44:00,Anfiteatro Arena,49
407704,047568BA7B3F80,vrcard2-24,9/24/2015,14:21:00,Anfiteatro Arena,49
407705,04C41DC27B3F84,vrcard2-24,12/8/2015,10:44:00,Anfiteatro Arena,49
407706,043875BA7B3F80,vrcard2-24,10/9/2015,15:05:00,Anfiteatro Arena,49
407707,042D76BA7B3F80,vrcard2-24,10/9/2015,15:05:00,Anfiteatro Arena,49
407708,047998BA7B3F80,vrcard2-24,11/14/2015,13:53:00,Anfiteatro Arena,49
407709,04790BBA7B3F84,vrcard2-24,11/14/2015,13:53:00,Anfiteatro Arena,49
407710,04A113C27B3F84,vrcard2-48,12/8/2015,10:43:00,Anfiteatro Arena,49
407711,04A114C27B3F84,vrcard2-48,12/8/2015,10:43:00,Anfiteatro Arena,49
407712,04792BBA7B3F80,vrcard2-24,11/14/2015,13:50:00,Anfiteatro Arena,49
407713,047B41BA7B3F80,vrcard2-24,12/26/2015,12:21:00,Anfiteatro Arena,49
407714,047B8ABA7B3F80,vrcard2-24,12/26/2015,12:21:00,Anfiteatro Arena,49
407715,047949BA7B3F80,vrcard2-24,11/14/2015,13:50:00,Anfiteatro Arena,49
407716,04010CBA7B3F85,vrcard2-48,12/8/2015,10:39:00,Anfiteatro Arena,49
407717,040E8CBA7B3F81,vrcard2-48,12/8/2015,10:39:00,Anfiteatro Arena,49
407718,0465F1BA7B3F80,vrcard2-24,11/14/2015,13:46:00,Anfiteatro Arena,49
407719,047FDABA7B3F80,vrcard2-24,12/26/2015,12:21:00,Anfiteatro Arena,49
407720,0467AABA7B3F80,vrcard2-24,11/14/2015,13:46:00,Anfiteatro Arena,49
407721,047562BA7B3F80,vrcard2-24,9/24/2015,14:15:00,Anfiteatro Arena,49
407722,047109BA7B3F84,vrcard2-24,9/24/2015,14:15:00,Anfiteatro Arena,49
407723,04F4C1C27B3F80,vrcard2-24,11/14/2015,13:46:00,Anfiteatro Arena,49
407724,04F434C27B3F80,vrcard2-24,11/14/2015,13:46:00,Anfiteatro Arena,49
407725,04F454C27B3F80,vrcard2-24,11/14/2015,13:46:00,Anfiteatro Arena,49
407726,0405AC72743381,vrcard2-48,9/24/2015,14:13:00,Anfiteatro Arena,49
407727,0431AD72743381,vrcard2-48,9/24/2015,14:13:00,Anfiteatro Arena,49
407728,048B4BBA7B3F80,vrcard2-48,10/9/2015,12:50:00,Anfiteatro Arena,49
407729,048485BA7B3F80,vrcard2-24,12/8/2015,10:38:00,Anfiteatro Arena,49
407730,04F45BC27B3F80,vrcard2-24,11/14/2015,13:46:00,Anfiteatro Arena,49
407731,048B57BA7B3F80,vrcard2-48,10/9/2015,12:50:00,Anfiteatro Arena,49
407732,047835BA7B3F80,vrcard2-24,12/8/2015,10:37:00,Anfiteatro Arena,49
407733,04A8C4C27B3F80,vrcard2-48,12/30/2015,10:47:00,Anfiteatro Arena,49
407734,047728BA7B3F80,vrcard2-24,12/8/2015,10:37:00,Anfiteatro Arena,49
407735,046E26BA7B3F84,vrcard2-24,12/8/2015,10:37:00,Anfiteatro Arena,49
407736,04C64BC27B3F80,vrcard2-24,10/9/2015,12:41:00,Anfiteatro Arena,49
407737,04C64CC27B3F80,vrcard2-24,10/9/2015,12:41:00,Anfiteatro Arena,49
