Visit Time (h),Strategy,VT (%),MT (%),QT (%),RT (%),RW,ARP,G,Mode
4,A2C,73.65721475,20.70066776,0,5.642117488,25.8,0.18,0.13,Walk
4,B-CDP,62.80313042,4.58,32.61686958,0,18.790309,0.33,0.44,Walk
4,B-DP,64.17,4.58,31.25,0,20.07,0.33,0.44,Walk
4,B-H,63.54,4.17,32.29,0,23.89,0.14,0.2,Walk
4,D-RL,53.12,28.12,18.76,0,17.07,0.14,0.2,Walk
,,,,,,,,,
5,A2C,78.08889759,18.18092814,0,3.730174271,35.92,0.22,0.21,Walk
5,B-CDP,63.90833449,4.2,31.89166551,0,25.56002508,0.34,0.45,Walk
5,B-DP,65.8,4.2,30,0,26.16,0.34,0.45,Walk
5,B-H,60.83,6.11,33.06,0,26.94,0.19,0.24,Walk
5,D-RL,64.33,16,17,2.67,25.68,0.18,0.17,Walk
,,,,,,,,,
6,A2C,67.36,22.92,2.08,7.64,32.34,0.25,0.34,Walk
6,B-CDP,66.22483444,3.89,22.66516556,7.22,31.50430023,0.33,0.44,Walk
6,B-DP,63.89,3.89,25,7.22,30.79,0.33,0.44,Walk
6,B-H,69.44,9.03,21.53,0,36.37,0.25,0.37,Walk
6,D-RL,52.78,26.39,12.5,8.33,30.89,0.22,0.35,Walk
,,,,,,,,,
7,A2C,70.24,21.43,7.14,1.19,37.46,0.33,0.44,Walk
7,B-CDP,72.41564632,3.81,23.77435368,0,44.66299816,0.39,0.48,Walk
7,B-DP,71.19,3.81,25,0,43.08,0.39,0.48,Walk
7,B-H,41.67,4.76,53.57,0,24.15,0.22,0.35,Walk
7,D-RL,65.48,16.67,17.85,0,38.38,0.28,0.4,Walk
,,,,,,,,,
4,A2C,88.20787464,8.430030745,0,3.362094615,33.1,0.2,0.09,Bike
4,B-CDP,61.18557688,4.58,34.23442312,0,18.95251849,0.33,0.44,Bike
4,B-DP,64.17,4.58,31.25,0,20.07,0.33,0.44,Bike
4,B-H,63.54,2.29,34.17,0,24.21,0.14,0.2,Bike
4,D-RL,69.58,5.21,21.88,3.33,24.58,0.11,0.17,Bike
,,,,,,,,,
5,A2C,83.81,9.1,4.99,2.1,38.2,0.28,0.13,Bike
5,B-CDP,64.78586739,4.2,31.01413261,0,25.63693757,0.34,0.45,Bike
5,B-DP,65.8,4.2,30,0,26.16,0.34,0.45,Bike
5,B-H,60.83,2.22,36.95,0,28.06,0.19,0.24,Bike
5,D-RL,71.93,5.73,19.01,3.33,31.27,0.2,0.23,Bike
,,,,,,,,,
6,A2C,81.11,10,8.33,0.56,41.72,0.33,0.39,Bike
6,B-CDP,62.09027806,3.89,26.79972194,7.22,30.24333434,0.33,0.44,Bike
6,B-DP,63.89,3.89,25,7.22,30.79,0.33,0.44,Bike
6,B-H,69.44,2.5,28.06,0,38.66,0.25,0.37,Bike
6,D-RL,73.61,5.56,20.83,0,37.54,0.28,0.4,Bike
,,,,,,,,,
7,A2C,66.67,5.48,7.14,20.71,48.34,0.33,0.44,Bike
7,B-CDP,73.12108536,3.81,23.06891464,0,43.71590965,0.39,0.48,Bike
7,B-DP,71.19,3.81,25,0,43.08,0.39,0.48,Bike
7,B-H,41.67,1.43,56.9,0,25.55,0.22,0.35,Bike
7,D-RL,79.05,3.1,17.85,0,46.97,0.28,0.4,Bike
